Data Usaha
"Pabrik Kina Kimia Farma Bandung
4,5(26)
Pabrik Kimia · Jl. Pajajaran No.42
Buka ⋅ Tutup pukul 16.00
Rute
  ""Tempat bersejarah pabrik kina terbesar di dunia."""
"Pabrik Tempe Bandung
4,2(26)
Produsen · perum kopti No.41, Jalan Terusan Holis, Margahayu Utara, Babakan Ciparay
Buka 24 jam · 0831-0101-0109
Situs Web
Rute"
"Pabrik Tempe Pak Kodir
5,0(3)
Produsen · Jl. Babakan Irigasi
Buka 24 jam · 0895-3844-16674
Rute"
"Pabrik Teh No 11
Tidak ada ulasan
Perusahaan Pengemasan · 3H39+X3Q, Jl. Terusan Holis Cibolerang
Buka ⋅ Tutup pukul 16.00 · 0821-2879-2747
Rute"
"Pabrik Softener Bandung
5,0(11)
Produsen kimia · BLKNG Pasar Baru NO. 111, RT.006/RW.5
Buka 24 jam
Situs Web
Rute"
"PT Euodoo
4,1(42)
Pemasok kantong plastik · Jl. Paralon II No.21
Buka ⋅ Tutup pukul 17.00 · (022) 6030090
Situs Web
Rute
  ""Pabrik plastik terdekat untuk daerah Bandung."""
"Pabrik Cakue
Tidak ada ulasan
Pabrik Tepung · Jl. Cetarip Barat No.21
Buka ⋅ Tutup pukul 21.00
Rute"
"Pabrik Cupsnack
3,0(2)
Pemasok Produk Makanan · Jl. Setra Murni Atas
Buka ⋅ Tutup pukul 20.00 · 0823-1915-4014
Situs Web
Rute"
"Pabrik
5,0(1)
Kantor Perusahaan · Jl. Paralon I No.2
Buka 24 jam
Rute"
"PT LT Plastik (Pabrik Plastik)
3,8(39)
Pabrik Plastik · Jl. Katapang Andir No.2
Buka ⋅ Tutup pukul 16.00 · (022) 85946211
Situs Web
Rute
  ""maaf, adakah lowongan kerja, saya pengalaman di pabrik plastik."""
"Pabrik Tahu Boga Rasa
5,0(2)
Produsen makanan · Jl. Terusan Suryani No.87, RT.002/004
Buka ⋅ Tutup pukul 19.00 · 0811-9908-787
Situs Web
Rute"
"Pabrik tahu
Tidak ada ulasan
Produsen · Jl. Terusan Suryani
Buka 24 jam · 0812-1414-9151
Rute"
"pabrik souvenir rubber Bandung
Tidak ada ulasan
Produsen suvenir · Jl. Maleber Inpres Selatan Gg. Bahagia II No.6
Buka 24 jam · 0898-8002-017
Rute"
"PT Agronesia - Saripetojo
4,2(81)
Produsen · Jl. Kebon Sirih No.18
Buka 24 jam · 0878-2161-7447
Situs Web
Rute
  ""Pabrik es legendaris."""
"Pabrik Tempe Wawan
4,2(5)
Produsen · Gg. Misbah, RT.06/RW.02
Buka ⋅ Tutup pukul 17.30 · 0896-1064-3364
Situs Web
Rute"
"Pabrik Kerupuk Galunggung
5,0(31)
Produsen makanan · Jl. Babakan Cianjur No.67
Buka ⋅ Tutup pukul 18.00 · 0878-2106-8080
Rute
  ""Kayaknya tuh pabrik krupuk terbesar seluruh Indonesia dehhh."""
"Pabrik Tahu Mekar Jaya
Tidak ada ulasan
Produsen · Jl. Cisasawi
Buka ⋅ Tutup pukul 17.30
Rute"
"PT Nobel Industries - Pabrik Banjaran
4,0(4)
Produsen · Jl. Raya Banjaran Barat No.536
Buka ⋅ Tutup pukul 17.00 · (022) 5945577
Situs Web
Rute"
"Pabrik Sabun Cuci Piring Bandung
5,0(13)
Produsen kimia · Samping Kembang Api, Belakang Pasar Street 111, RT.05/RW.06
Buka 24 jam · 0896-3305-7580
Situs Web
Rute"
"Kopo Industries PT
Tidak ada ulasan
Pabrik Tepung · Jl. Raya Kopo No.366, RW.01
(022) 5401650
Rute"
